region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
REGION VII,Cebu,Catmon,0.0,4th,28320.0,10964.0
REGION III,Bulacan,Baliuag,0.0,1st,143565.0,4505.0
REGION V,Camarines Sur,Garchitorena,0.0,4th,25204.0,24380.0
REGION IV-B,Romblon,Magdiwang,0.0,5th,13584.0,10075.0
REGION III,Tarlac,San Jose,0.0,3rd,33960.0,59281.0
REGION X,Misamis Occidental,Oroquieta City,1.0,4th Class ,"",23788.0
NCR,Metropolitan Manila,San Juan,1.0,1st Class-Special,"",595.0
REGION IV-A,Laguna,Nagcarlan,0.0,2nd,59726.0,7810.0
REGION X,Lanao del Norte,Salvador,0.0,5th,27348.0,11399.0
REGION VII,Cebu,Sibonga,0.0,3rd,43641.0,13345.0
REGION V,Camarines Sur,Bombon,0.0,5th,15437.0,2873.0
REGION IV-B,Palawan,Cuyo,0.0,4th,21847.0,8495.0
REGION IX,Zamboanga del Sur,Dimataling,0.0,4th,27715.0,14180.0
REGION VIII,Northern Samar,Bobon,0.0,4th,20956.0,13000.0
REGION IX,Zamboanga del Sur,Guipos,0.0,4th,19771.0,9053.0
REGION II,Isabela,Quezon,0.0,4th,24522.0,18990.0
REGION I,Ilocos Sur,Suyo,0.0,4th,10622.0,12400.0
ARMM,Maguindanao,Cotabato City,1.0,3rd Class ,"",17600.0
ARMM,Basilan,Tuburan,0.0,-,18635.0,18635.0
ARMM,Tawi-Tawi,Sitangkai,0.0,1st,30514.0,79200.0
REGION IX,Zamboanga del Norte,Sirawai,0.0,4th,24583.0,22250.0
REGION II,Isabela,Ilagan,1.0,- ,"",116626.0
REGION IV-A,Batangas,Lobo,0.0,3rd,37070.0,17503.0
REGION X,Lanao del Norte,Baloi,0.0,3rd,50387.0,9098.0
REGION XIII,Surigao del Sur,Cortes,0.0,4th,15541.0,12708.0
REGION IV-A,Laguna,Santa Cruz,0.0,1st,110943.0,3859.0
REGION IX,Zamboanga del Sur,Lapuyan,0.0,3rd,26175.0,32900.0
CAR,Abra,Pidigan,0.0,5th,11528.0,4915.0
REGION IV-A,Batangas,Laurel,0.0,3rd,35674.0,7129.0
REGION I,Pangasinan,Binmaley,0.0,1st,78702.0,11850.0
REGION VIII,Southern Leyte,Saint Bernard,0.0,4th,25169.0,10020.0
REGION VI,Iloilo,Cabatuan,0.0,2nd,54950.0,11290.0
CAR,Benguet,Sablan,0.0,5th,10511.0,10563.0
NIR,Negros Oriental,Tanjay City,1.0,4th Class ,"",27605.0
REGION XIII,Surigao del Sur,Tago,0.0,2nd,33993.0,25328.0
REGION I,Ilocos Sur,Narvacan,0.0,2nd,42803.0,12221.0
