region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
REGION IV-A,Batangas,Padre Garcia,0.0,2nd,44877.0,4151.0
REGION VIII,Eastern Samar,Balangiga,0.0,4th,12756.0,19005.0
REGION VII,Bohol,Loon,0.0,2nd,42800.0,11336.0
REGION IX,Zamboanga Sibugay,Roseller Lim,0.0,3rd,37216.0,30000.0
REGION III,Bulacan,Pulilan,0.0,1st,85844.0,3989.0
REGION XI,Davao del Norte,Braulio E. Dujali,0.0,4th,28339.0,9100.0
NCR,Metropolitan Manila,Las Piñas,1.0,1st Class-Special,"",3269.0
REGION I,Pangasinan,Natividad,0.0,4th,22713.0,13436.0
REGION VIII,Leyte,Palompon,0.0,2nd,54163.0,12607.0
REGION I,Ilocos Sur,San Ildefonso,0.0,5th,7075.0,1135.0
REGION I,Ilocos Norte,Currimao,0.0,4th,11970.0,3408.0
REGION VI,Guimaras,Sibunag,0.0,4th,19565.0,12004.0
REGION IV-A,Quezon,Pitogo,0.0,4th,21380.0,7339.0
REGION XIII,Surigao del Norte,San Francisco,0.0,5th,13335.0,5672.0
REGION I,Pangasinan,Basista,0.0,4th,30385.0,2400.0
REGION XI,Davao del Sur,Matanao,0.0,2nd,51382.0,20240.0
REGION II,Nueva Vizcaya,Alfonso Castaneda,0.0,1st,7428.0,37540.0
ARMM,Sulu,Patikul,0.0,3rd,42036.0,33004.0
REGION IX,Zamboanga del Norte,Godod,0.0,4th,17788.0,19000.0
REGION VI,Capiz,Tapaz,0.0,1st,48051.0,51718.0
REGION IV-A,Rizal,Jala-Jala,0.0,4th,30074.0,4412.0
REGION I,Ilocos Sur,San Vicente,0.0,5th,11720.0,1260.0
REGION VII,Cebu,Compostela,0.0,3rd,42574.0,5390.0
ARMM,Maguindanao,Barira,0.0,4th,19686.0,39261.0
REGION IV-A,Quezon,Panukulan,0.0,4th,12511.0,22661.0
REGION IV-A,Laguna,Paete,0.0,4th,23523.0,5502.0
REGION XI,Compostela Valley,Mawab,0.0,3rd,35698.0,13610.0
REGION VIII,Southern Leyte,Anahawan,0.0,5th,7942.0,5809.0
REGION IV-B,Romblon,Corcuera,0.0,5th,9935.0,2853.0
REGION I,Ilocos Sur,Quirino,0.0,4th,8535.0,24010.0
ARMM,Basilan,Al-Barka,0.0,-,19523.0,18870.0
REGION III,Zambales,Castillejos,0.0,3rd,48845.0,9299.0
REGION I,Ilocos Sur,Sigay,0.0,5th,2419.0,8155.0
REGION XIII,Agusan del Sur,Veruela,0.0,2nd,40457.0,38545.0
REGION V,Sorsogon,Santa Magdalena,0.0,5th,16520.0,4350.0
REGION XIII,Agusan del Sur,Talacogon,0.0,2nd,37224.0,40525.0
REGION III,Bataan,Hermosa,0.0,1st,56997.0,15700.0
REGION I,Ilocos Sur,Vigan City,1.0,4th Class ,"",2512.0
REGION IV-A,Batangas,Taysan,0.0,2nd,35357.0,9362.0
REGION VIII,Leyte,Baybay City,1.0,- ,"",45934.0
REGION VIII,Samar,Calbayog City,1.0,1st Class-Special,"",88074.0
REGION IV-A,Batangas,Tingloy,0.0,5th,16870.0,3307.0
REGION I,Pangasinan,Burgos,0.0,4th,18315.0,13132.0
REGION VIII,Eastern Samar,General Macarthur,0.0,5th,12214.0,11729.0
REGION V,Camarines Norte,Santa Elena,0.0,3rd,40828.0,19935.0
REGION IV-A,Laguna,Liliw,0.0,4th,33851.0,3910.0
REGION IV-B,Palawan,San Vicente,0.0,1st,30919.0,146294.0
REGION III,Tarlac,Paniqui,0.0,1st,87730.0,10516.0
REGION VIII,Eastern Samar,Salcedo,0.0,5th,19970.0,11380.0
REGION VI,Antique,Caluya,0.0,1st,30046.0,13213.0
REGION IX,Zamboanga del Norte,Siocon,0.0,1st,41637.0,50320.0
REGION III,Pampanga,Macabebe,0.0,1st,70777.0,10516.0
NIR,Negros Oriental,Jimalalud,0.0,4th,29044.0,13950.0
REGION III,Aurora,Dilasag,0.0,3rd,15683.0,30625.0
ARMM,Basilan,Lantawan,0.0,3rd,20087.0,40504.0
REGION VII,Bohol,Sierra Bullones,0.0,3rd,24698.0,19887.0
REGION VIII,Northern Samar,Silvino Lobos,0.0,4th,14303.0,22420.0
REGION VI,Capiz,Jamindan,0.0,2nd,35002.0,41203.0
REGION IV-B,Palawan,Busuanga,0.0,3rd,21358.0,39290.0
REGION XII,North Cotabato,Carmen,0.0,1st,82469.0,111043.0
REGION V,Sorsogon,Castilla,0.0,3rd,52903.0,18620.0
REGION X,Misamis Oriental,Talisayan,0.0,4th,23289.0,14033.0
CAR,Benguet,Bokod,0.0,4th,12648.0,27496.0
REGION VII,Cebu,Tabuelan,0.0,4th,22292.0,14113.0
ARMM,Maguindanao,Matanog,0.0,4th,23269.0,14650.0
REGION III,Zambales,San Antonio,0.0,2nd,34217.0,18812.0
REGION VIII,Northern Samar,Lavezares,0.0,4th,27464.0,11950.0
NCR,Metropolitan Manila,Malabon,1.0,1st Class-Special,"",1571.0
CAR,Abra,La Paz,0.0,5th,14882.0,5141.0
REGION X,Misamis Occidental,Plaridel,0.0,3rd,35251.0,8000.0
REGION VI,Antique,Sebaste,0.0,4th,17270.0,11164.0
CAR,Ifugao,Tinoc,0.0,4th,14147.0,23970.0
REGION VII,Cebu,San Remigio,0.0,3rd,51394.0,9527.0
NCR,Metropolitan Manila,Parañaque,1.0,1st Class-Special,"",4657.0
REGION II,Isabela,Tumauini,0.0,1st,58463.0,46730.0
REGION IV-A,Laguna,Victoria,0.0,4th,34604.0,2235.0
REGION VI,Guimaras,Nueva Valencia,0.0,3rd,37852.0,13712.0
REGION VIII,Leyte,Hilongos,0.0,2nd,56803.0,19292.0
REGION III,Bulacan,Doña Remedios Trinidad,0.0,1st,19878.0,93296.0
NIR,Negros Occidental,Bago City,1.0,2nd Class ,"",40120.0
REGION XIII,Dinagat Islands,Tubajon,0.0,5th,7568.0,9000.0
NIR,Negros Oriental,Guihulngan City,1.0,5th Class ,"",38856.0
REGION VI,Iloilo,Tubungan,0.0,4th,21540.0,8518.0
CAR,Kalinga,Tabuk City,1.0,5th Class ,"",70025.0
REGION VIII,Northern Samar,Lope de Vega,0.0,4th,13542.0,28000.0
REGION IV-A,Cavite,Imus,1.0,- ,"",17166.0
REGION IV-A,Quezon,General Luna,0.0,4th,25373.0,10102.0
REGION I,Ilocos Norte,Burgos,0.0,5th,9687.0,12890.0
CAR,Mountain Province,Tadian,0.0,4th,20689.0,14520.0
REGION II,Cagayan,Solana,0.0,1st,76596.0,23460.0
REGION VIII,Leyte,Mahaplag,0.0,4th,26599.0,10479.0
REGION I,Pangasinan,Mabini,0.0,3rd,24011.0,29101.0
REGION VIII,Samar,Motiong,0.0,4th,14829.0,17440.0
REGION I,Pangasinan,Rosales,0.0,1st,59687.0,6639.0
REGION V,Camarines Norte,Mercedes,0.0,2nd,47674.0,17369.0
CAR,Benguet,Bakun,0.0,3rd,13587.0,28691.0
OAV,EUROPE,ITALY,-1.0,"","",""
ARMM,Tawi-Tawi,Turtle Islands,0.0,5th,3772.0,6250.0
CAR,Mountain Province,Bauko,0.0,4th,30172.0,15300.0
REGION IV-B,Palawan,Brooke's Point,0.0,1st,61301.0,130340.0
REGION XII,Sultan Kudarat,Bagumbayan,0.0,1st,63700.0,67206.0
REGION VI,Capiz,Panitan,0.0,3rd,37895.0,8988.0
REGION II,Isabela,Divilacan,0.0,2nd,5034.0,88949.0
REGION IV-B,Occidental Mindoro,Paluan,0.0,3rd,15223.0,56450.0
REGION VII,Bohol,Corella,0.0,5th,7699.0,3722.0
REGION V,Masbate,San Fernando,0.0,5th,21309.0,7750.0
REGION XI,Davao del Norte,San Isidro,0.0,5th,25548.0,15249.0
REGION XIII,Surigao del Norte,Del Carmen,0.0,5th,17136.0,15168.0
REGION IV-A,Laguna,San Pablo City,1.0,1st Class-Special,"",19756.0
REGION IV-A,Quezon,Macalelon,0.0,4th,26419.0,12405.0
REGION X,Misamis Occidental,Panaon,0.0,5th,10176.0,4680.0
REGION XIII,Surigao del Sur,Lianga,0.0,4th,28905.0,16112.0
REGION II,Batanes,Mahatao,0.0,6th,1583.0,1290.0
CAR,Mountain Province,Sagada,0.0,5th,11244.0,8332.0
ARMM,Maguindanao,Rajah Buayan,0.0,-,17423.0,7198.0
REGION V,Masbate,Batuan,0.0,5th,13764.0,5628.0
REGION III,Tarlac,San Clemente,0.0,5th,12510.0,4973.0
REGION I,Pangasinan,Umingan,0.0,1st,67534.0,25843.0
REGION VII,Cebu,Carcar,1.0,5th Class ,"",11678.0
REGION IV-A,Batangas,Balete,0.0,5th,20214.0,2500.0
REGION XII,South Cotabato,Koronadal City,1.0,3rd Class ,"",27700.0
REGION IX,Zamboanga Sibugay,Mabuhay,0.0,4th,33093.0,8285.0
REGION I,Pangasinan,Infanta,0.0,3rd,23455.0,25429.0
REGION VII,Cebu,San Fernando,0.0,2nd,60970.0,6939.0
REGION III,Pampanga,Bacolor,0.0,3rd,31508.0,7170.0
CAR,Abra,Tayum,0.0,5th,13940.0,6114.0
REGION III,Bataan,Morong,0.0,3rd,26171.0,21920.0
REGION VIII,Eastern Samar,Quinapondan,0.0,5th,13841.0,8324.0
ARMM,Sulu,Old Panamao,0.0,4th,37933.0,10757.0
NIR,Negros Oriental,Zamboanguita,0.0,4th,24996.0,8586.0
REGION IX,Zamboanga del Norte,Tampilisan,0.0,4th,23056.0,13775.0
REGION VII,Bohol,Loboc,0.0,4th,16312.0,5765.0
NIR,Negros Occidental,Escalante City,1.0,4th Class ,"",19276.0
REGION VII,Cebu,Minglanilla,0.0,1st,113178.0,6560.0
REGION IV-A,Batangas,Nasugbu,0.0,1st,122483.0,27851.0
REGION I,Ilocos Norte,Carasi,0.0,5th,1473.0,8297.0
REGION VIII,Samar,Santa Rita,0.0,3rd,38082.0,41177.0
REGION VIII,Northern Samar,Pambujan,0.0,4th,31057.0,16390.0
REGION VIII,Southern Leyte,Silago,0.0,4th,12310.0,21505.0
REGION V,Camarines Sur,Pasacao,0.0,3rd,45946.0,14954.0
NIR,Negros Occidental,Manapla,0.0,2nd,52687.0,11286.0
REGION IV-A,Quezon,Lopez,0.0,1st,91074.0,35538.0
REGION I,Ilocos Sur,Santa Lucia,0.0,3rd,24981.0,4972.0
NCR,Metropolitan Manila,Pasay City,1.0,1st Class-Special,"",1397.0
REGION I,Pangasinan,San Jacinto,0.0,3rd,37737.0,4418.0
REGION XI,Compostela Valley,Compostela,0.0,1st,81934.0,28700.0
REGION IV-A,Laguna,Los Baños,0.0,1st,101884.0,5422.0
ARMM,Maguindanao,Shariff Aguak,0.0,3rd,34376.0,39270.0
REGION IV-A,Batangas,San Luis,0.0,4th,30701.0,4256.0
ARMM,Sulu,Pata,0.0,5th,14918.0,11699.0
REGION IX,Zamboanga del Sur,Zamboanga City,1.0,1st Class-Special,"",141470.0
REGION III,Nueva Ecija,Cuyapo,0.0,1st,59396.0,21573.0
REGION IX,Zamboanga del Sur,Dumingag,0.0,2nd,46500.0,29775.0
REGION VI,Capiz,Ivisan,0.0,4th,26763.0,5420.0
REGION III,Bataan,Orion,0.0,2nd,51454.0,6541.0
REGION I,Ilocos Sur,Burgos,0.0,4th,11679.0,4438.0
NCR,Metropolitan Manila,Pasig City,1.0,1st Class-Special,"",4846.0
ARMM,Basilan,Hadji Mohammad Ajul,0.0,-,12249.0,12249.0
REGION I,Ilocos Sur,Santo Domingo,0.0,3rd,27596.0,5549.0
NIR,Negros Occidental,La Carlota City,1.0,4th Class ,"",13729.0
REGION III,Pampanga,Santa Rita,0.0,4th,38762.0,2976.0
REGION V,Camarines Sur,Tigaon,0.0,3rd,48611.0,7235.0
REGION III,Tarlac,Mayantoc,0.0,3rd,29987.0,31142.0
REGION X,Lanao del Norte,Lala,0.0,1st,65355.0,14025.0
REGION IX,Zamboanga del Sur,Labangan,0.0,3rd,39168.0,15790.0
REGION XI,Compostela Valley,Montevista,0.0,3rd,39602.0,22500.0
REGION V,Albay,Pio Duran,0.0,3rd,45028.0,13370.0
REGION VIII,Leyte,Tacloban City,1.0,1st Class-Special,"",20172.0
REGION VII,Bohol,Panglao,0.0,4th,28603.0,4779.0
NIR,Negros Oriental,Valencia,0.0,1st,31477.0,14749.0
REGION V,Catanduanes,Baras,0.0,5th,12243.0,10950.0
REGION IV-B,Romblon,Concepcion,0.0,6th,4445.0,1982.0
REGION IV-B,Marinduque,Boac,0.0,1st,52892.0,21270.0
REGION X,Lanao del Norte,Tubod,0.0,2nd,46332.0,24680.0
REGION I,Ilocos Norte,Bangui,0.0,4th,15025.0,11298.0
CAR,Ifugao,Lamut,0.0,4th,23088.0,15965.0
REGION IX,Zamboanga Sibugay,Malangas,0.0,3rd,31243.0,23553.0
REGION X,Lanao del Norte,Nunungan,0.0,3rd,16304.0,47328.0
REGION IV-B,Occidental Mindoro,Lubang,0.0,4th,23068.0,11310.0
REGION V,Albay,Bacacay,0.0,2nd,65724.0,12213.0
REGION XI,Compostela Valley,Laak,0.0,1st,70856.0,76800.0
REGION II,Isabela,San Pablo,0.0,2nd,22040.0,63790.0
REGION III,Nueva Ecija,San Antonio,0.0,1st,73074.0,15356.0
REGION VI,Capiz,Dumalag,0.0,4th,29298.0,10918.0
REGION XI,Davao del Sur,Jose Abad Santos,0.0,1st,69631.0,60006.0
REGION VII,Bohol,Lila,0.0,5th,11985.0,4050.0
ARMM,Maguindanao,Datu Piang,0.0,2nd,28492.0,30297.0
CAR,Abra,Lagayan,0.0,5th,4477.0,21597.0
ARMM,Lanao del Sur,Lumbayanague,0.0,4th,14308.0,30218.0
REGION V,Albay,Camalig,0.0,1st,63585.0,13090.0
OAV,MIDDLE EAST AND AFRICAS,REPUBLIC OF LEBANON,-1.0,"","",""
REGION I,Ilocos Norte,Sarrat,0.0,4th,24770.0,5739.0
REGION VI,Antique,Hamtic,0.0,3rd,45983.0,11303.0
REGION VI,Aklan,Balete,0.0,4th,27197.0,11893.0
REGION XIII,Agusan del Norte,Las Nieves,0.0,2nd,26856.0,58269.0
REGION I,Ilocos Sur,San Esteban,0.0,5th,8072.0,1962.0
REGION VII,Bohol,Albuquerque,0.0,5th,9921.0,2698.0
REGION III,Bulacan,Marilao,0.0,1st,185624.0,3374.0
REGION V,Camarines Sur,Canaman,0.0,4th,32390.0,4327.0
REGION I,La Union,Luna,0.0,3rd,35380.0,4290.0
REGION II,Isabela,Echague,0.0,1st,74680.0,68080.0
REGION II,Cagayan,Tuao,0.0,1st,57620.0,21550.0
REGION X,Bukidnon,Quezon,0.0,1st,94584.0,62686.0
CAR,Abra,Bucloc,0.0,6th,2176.0,6377.0
REGION IV-A,Quezon,Mulanay,0.0,1st,50826.0,42000.0
REGION IV-A,Quezon,Alabat,0.0,5th,16120.0,5761.0
REGION III,Nueva Ecija,San Leonardo,0.0,1st,58120.0,15190.0
REGION VIII,Samar,Santo Nino,0.0,5th,13504.0,2953.0
REGION VIII,Leyte,Ormoc City,1.0,1st Class-Special,"",61360.0
REGION III,Bataan,Balanga City,1.0,4th Class ,"",11163.0
REGION II,Nueva Vizcaya,Ambaguio,0.0,5th,13452.0,15626.0
REGION V,Camarines Sur,Goa,0.0,2nd,58503.0,20618.0
REGION VIII,Leyte,Santa Fe,0.0,5th,17427.0,5397.0
CAR,Abra,Langiden,0.0,5th,3170.0,11629.0
REGION XII,North Cotabato,Aleosan,0.0,3rd,35746.0,22544.0
REGION VIII,Biliran,Cabucgayan,0.0,5th,19621.0,5419.0
REGION VIII,Leyte,Jaro,0.0,3rd,39577.0,20719.0
REGION III,Zambales,Masinloc,0.0,1st,44342.0,33150.0
REGION II,Isabela,Santa Maria,0.0,4th,22939.0,14000.0
REGION II,Quirino,Maddela,0.0,1st,35634.0,91857.0
REGION I,Ilocos Norte,Nueva Era,0.0,3rd,7837.0,51502.0
REGION IX,Zamboanga del Sur,Tambulig,0.0,4th,34883.0,13065.0
REGION III,Zambales,Santa Cruz,0.0,1st,53867.0,43846.0
NIR,Negros Occidental,Calatrava,0.0,1st,79009.0,50450.0
NIR,Negros Oriental,Manjuyod,0.0,2nd,41107.0,26460.0
REGION III,Bulacan,Angat,0.0,1st,55332.0,7400.0
REGION X,Camiguin,Mahinog,0.0,5th,13531.0,3255.0
REGION VII,Cebu,Toledo City,1.0,3rd Class ,"",21628.0
REGION X,Bukidnon,Valencia City,1.0,2nd Class ,"",58729.0
NIR,Negros Oriental,La Libertad,0.0,3rd,38904.0,13960.0
REGION I,Pangasinan,Calasiao,0.0,1st,91109.0,4836.0
CAR,Abra,San Isidro,0.0,5th,4888.0,4807.0
REGION XI,Davao del Sur,Hagonoy,0.0,3rd,49107.0,11428.0
REGION X,Bukidnon,Malitbog,0.0,2nd,22880.0,58185.0
REGION III,Nueva Ecija,Santo Domingo,0.0,3rd,50983.0,7488.0
REGION III,Zambales,San Narciso,0.0,4th,26966.0,7160.0
REGION II,Nueva Vizcaya,Quezon,0.0,4th,19385.0,18750.0
OAV,ASIA,PEOPLES REPUBLIC OF CHINA,-1.0,"","",""
ARMM,Lanao del Sur,Marawi City,1.0,4th Class ,"",8755.0
REGION VII,Bohol,San Miguel,0.0,4th,23574.0,12329.0
CAR,Abra,Luba,0.0,5th,6391.0,14827.0
REGION V,Masbate,San Jacinto,0.0,4th,27974.0,12240.0
REGION X,Lanao del Norte,Sapad,0.0,5th,19479.0,14003.0
REGION X,Misamis Oriental,Medina,0.0,4th,31154.0,14829.0
REGION XI,Davao Oriental,Manay,0.0,2nd,40577.0,41836.0
REGION VI,Antique,Tobias Fornier,0.0,4th,30669.0,11212.0
REGION V,Camarines Sur,Bato,0.0,3rd,48306.0,10712.0
REGION I,Pangasinan,Mangatarem,0.0,1st,69969.0,31750.0
REGION III,Bataan,Pilar,0.0,3rd,39787.0,3760.0
REGION XII,North Cotabato,Kidapawan City,1.0,3rd Class ,"",35847.0
REGION VI,Capiz,Roxas City,1.0,3rd Class ,"",9507.0
ARMM,Basilan,Sumisip,0.0,1st,37031.0,56760.0
REGION V,Camarines Sur,Magarao,0.0,4th,24274.0,4497.0
REGION XIII,Dinagat Islands,Basilisa,0.0,4th,33880.0,9268.0
REGION III,Nueva Ecija,Palayan City,1.0,5th Class ,"",10140.0
REGION XIII,Surigao del Norte,Dapa,0.0,4th,23492.0,9190.0
REGION VII,Bohol,Danao,0.0,4th,17952.0,16276.0
REGION IV-A,Batangas,Agoncillo,0.0,4th,35794.0,4996.0
REGION IV-A,Quezon,Sampaloc,0.0,5th,13107.0,10478.0
REGION IV-B,Marinduque,Santa Cruz,0.0,1st,55673.0,27077.0
REGION II,Cagayan,Iguig,0.0,4th,25559.0,10810.0
REGION XI,Davao del Sur,Malita,0.0,1st,109568.0,88337.0
NIR,Negros Occidental,San Carlos City,1.0,2nd Class ,"",45150.0
REGION IV-A,Batangas,Cuenca,0.0,4th,31236.0,5818.0
REGION III,Bulacan,Santa Maria,0.0,1st,218351.0,9092.0
REGION V,Masbate,Placer,0.0,2nd,55438.0,19303.0
REGION IV-A,Laguna,Santa Maria,0.0,4th,26839.0,10840.0
REGION IV-A,Quezon,Infanta,0.0,1st,64818.0,34276.0
REGION VIII,Northern Samar,San Isidro,0.0,4th,24952.0,25590.0
REGION VII,Bohol,Tubigon,0.0,1st,44902.0,8187.0
ARMM,Maguindanao,Shariff Aguak,0.0,-,16442.0,16442.0
REGION IX,Zamboanga del Sur,Aurora,0.0,2nd,48434.0,18095.0
REGION VI,Antique,Belison,0.0,5th,12807.0,1978.0
REGION V,Camarines Sur,Gainza,0.0,5th,10345.0,1475.0
CAR,Mountain Province,Paracelis,0.0,2nd,26476.0,57016.0
REGION IV-B,Romblon,Cajidiocan,0.0,4th,21198.0,20185.0
REGION IV-B,Marinduque,Mogpog,0.0,3rd,33384.0,10806.0
REGION V,Masbate,Claveria,0.0,3rd,41572.0,18298.0
REGION I,Ilocos Norte,Pagudpud,0.0,4th,21877.0,19490.0
REGION IV-A,Batangas,Calatagan,0.0,2nd,51997.0,11200.0
REGION XIII,Agusan del Sur,Sibagat,0.0,1st,30985.0,56782.0
REGION I,Ilocos Sur,Salcedo,0.0,4th,10935.0,10344.0
ARMM,Basilan,Tipo-Tipo,0.0,3rd,16978.0,21700.0
REGION IX,Zamboanga del Norte,Salug,0.0,3rd,31157.0,20660.0
REGION II,Isabela,Luna,0.0,5th,18091.0,4570.0
REGION VIII,Northern Samar,Capul,0.0,5th,12659.0,3556.0
CAR,Abra,Pilar,0.0,5th,9908.0,6610.0
NIR,Negros Oriental,Bindoy,0.0,3rd,39416.0,17370.0
REGION X,Lanao del Norte,Kapatagan,0.0,2nd,53916.0,24289.0
REGION III,Bulacan,Obando,0.0,2nd,58009.0,5210.0
REGION IV-A,Quezon,Padre Burgos,0.0,4th,20161.0,6910.0
REGION VI,Iloilo,New Lucena,0.0,4th,22174.0,4410.0
REGION XIII,Surigao del Sur,Carrascal,0.0,4th,16529.0,26580.0
REGION VII,Cebu,Balamban,0.0,1st,71237.0,33356.0
REGION I,Ilocos Sur,Cabugao,0.0,1st,35706.0,9556.0
REGION IV-B,Oriental Mindoro,San Teodoro,0.0,4th,15810.0,34100.0
REGION IV-A,Batangas,Calaca,0.0,1st,70521.0,11458.0
REGION III,Nueva Ecija,Gapan City,1.0,4th Class ,"",16444.0
REGION IV-B,Romblon,Alcantara,0.0,5th,15428.0,6012.0
REGION XII,Sultan Kudarat,Isulan,0.0,1st,86602.0,54125.0
REGION II,Isabela,Jones,0.0,1st,44218.0,67014.0
ARMM,Basilan,Tuburan,0.0,2nd,18988.0,54600.0
REGION IX,Zamboanga del Norte,Jose Dalman,0.0,5th,27033.0,13500.0
REGION IV-A,Quezon,Gumaca,0.0,1st,69618.0,18965.0
REGION VIII,Samar,Talalora,0.0,6th,7983.0,2796.0
REGION VII,Bohol,Dagohoy,0.0,5th,18868.0,7759.0
REGION IX,Zamboanga Sibugay,Diplahan,0.0,3rd,31215.0,25551.0
REGION X,Camiguin,Guinsiliban,0.0,6th,5580.0,1852.0
REGION IX,Zamboanga del Sur,San Miguel,0.0,4th,18258.0,18159.0
REGION IV-A,Quezon,Jomalig,0.0,5th,6884.0,5665.0
REGION IV-A,Laguna,Bay,0.0,2nd,55698.0,4266.0
REGION III,Aurora,Dingalan,0.0,3rd,23554.0,30455.0
REGION IV-A,Quezon,Mauban,0.0,1st,61141.0,41598.0
REGION IV-B,Palawan,Rizal,0.0,1st,42759.0,125647.0
REGION VI,Aklan,Malay,0.0,1st,45811.0,6601.0
REGION VIII,Leyte,Calubian,0.0,4th,29619.0,10095.0
REGION IV-A,Quezon,Dolores,0.0,4th,27702.0,6260.0
REGION VII,Bohol,Maribojoc,0.0,4th,20491.0,4935.0
REGION X,Bukidnon,Don Carlos,0.0,1st,64334.0,21372.0
REGION XI,Davao del Norte,Carmen,0.0,1st,69199.0,16600.0
ARMM,Lanao del Sur,Piagapo,0.0,4th,21974.0,34007.0
REGION X,Lanao del Norte,Linamon,0.0,5th,17484.0,7638.0
REGION IV-A,Rizal,Teresa,0.0,2nd,47163.0,1861.0
CAR,Ifugao,Kiangan,0.0,4th,15837.0,20000.0
REGION I,Pangasinan,Laoac,0.0,4th,29456.0,4050.0
REGION III,Bataan,Abucay,0.0,3rd,37719.0,7972.0
ARMM,Maguindanao,Mamasapano,0.0,5th,22354.0,8531.0
REGION III,Tarlac,Moncada,0.0,1st,56183.0,8575.0
REGION XII,Sultan Kudarat,President Quirino,0.0,3rd,38753.0,20840.0
CAR,Kalinga,Pasil,0.0,5th,9626.0,18900.0
REGION II,Cagayan,Piat,0.0,4th,22961.0,13960.0
ARMM,Maguindanao,Buldon,0.0,4th,33729.0,42940.0
REGION III,Tarlac,Concepcion,0.0,1st,139832.0,24299.0
CAR,Ifugao,Banaue,0.0,4th,22365.0,19120.0
ARMM,Lanao del Sur,Masiu,0.0,5th,25181.0,17000.0
REGION XII,North Cotabato,Alamada,0.0,1st,56813.0,78750.0
ARMM,Lanao del Sur,Marogong,0.0,4th,18541.0,36500.0
REGION IV-B,Romblon,Ferrol,0.0,6th,6802.0,2672.0
REGION IV-B,Romblon,San Jose,0.0,5th,10294.0,2205.0
REGION VI,Iloilo,San Dionisio,0.0,4th,33650.0,12706.0
REGION VIII,Samar,Zumarraga,0.0,5th,16936.0,3855.0
REGION VI,Iloilo,Janiuay,0.0,1st,63031.0,17910.0
REGION X,Misamis Oriental,Cagayan de Oro City,1.0,1st Class-Special,"",41280.0
NIR,Negros Occidental,Enrique B. Magalona,0.0,2nd,59434.0,11325.0
NIR,Negros Oriental,Mabinay,0.0,1st,74187.0,31944.0
REGION VII,Cebu,Santa Fe,0.0,4th,27270.0,2805.0
REGION II,Cagayan,Calayan,0.0,3rd,16200.0,49453.0
REGION II,Cagayan,Gattaran,0.0,1st,54848.0,70750.0
REGION IV-B,Palawan,Quezon,0.0,1st,55142.0,94319.0
REGION X,Misamis Occidental,Calamba,0.0,4th,21005.0,10464.0
REGION IX,Zamboanga del Norte,Polanco,0.0,3rd,37472.0,20688.0
REGION IX,Zamboanga del Sur,Bayog,0.0,3rd,30048.0,35640.0
ARMM,Lanao del Sur,Binidayan,0.0,4th,19493.0,28000.0
REGION V,Sorsogon,Casiguran,0.0,4th,30995.0,8713.0
REGION IV-B,Romblon,Santa Fe,0.0,5th,15700.0,6352.0
REGION VI,Antique,Bugasong,0.0,3rd,32264.0,20371.0
OAV,MIDDLE EAST AND AFRICAS,UNITED ARAB EMIRATES,-1.0,"","",""
REGION V,Sorsogon,Juban,0.0,4th,30335.0,12149.0
REGION I,Ilocos Norte,Vintar,0.0,1st,31448.0,61435.0
REGION I,Ilocos Sur,Santa Maria,0.0,3rd,28597.0,6331.0
NIR,Negros Oriental,Bayawan City,1.0,2nd Class ,"",69908.0
REGION VII,Siquijor,Maria,0.0,5th,13383.0,5337.0
REGION XIII,Agusan del Norte,Santiago,0.0,4th,20955.0,27561.0
NIR,Negros Oriental,Siaton,0.0,1st,73285.0,33590.0
REGION IV-A,Batangas,Bauan,0.0,1st,81351.0,5331.0
REGION IV-A,Quezon,San Andres,0.0,4th,33586.0,6099.0
REGION VII,Cebu,Daanbantayan,0.0,1st,74897.0,9227.0
ARMM,Lanao del Sur,Malabang,0.0,3rd,38724.0,19810.0
REGION VI,Iloilo,Batad,0.0,5th,19385.0,5310.0
REGION I,La Union,Agoo,0.0,1st,60596.0,5284.0
ARMM,Maguindanao,Upi,0.0,1st,45444.0,74295.0
NIR,Negros Occidental,Murcia,0.0,1st,75207.0,27914.0
REGION XIII,Agusan del Norte,Cabadbaran City,1.0,6th Class ,"",21444.0
REGION IX,Zamboanga del Norte,Siayan,0.0,2nd,34989.0,49475.0
REGION V,Masbate,Uson,0.0,3rd,53602.0,16320.0
REGION II,Cagayan,Claveria,0.0,3rd,30482.0,19480.0
ARMM,Maguindanao,Buluan,0.0,4th,38106.0,69950.0
REGION XI,Davao del Sur,Santa Maria,0.0,2nd,49349.0,17500.0
REGION I,La Union,Santo Tomas,0.0,4th,35999.0,6400.0
REGION IV-A,Batangas,San Jose,0.0,1st,68517.0,5329.0
REGION III,Tarlac,Bamban,0.0,2nd,62413.0,25198.0
REGION VI,Antique,Anini-Y,0.0,4th,20349.0,6617.0
REGION XIII,Agusan del Sur,Bunawan,0.0,1st,37482.0,51216.0
REGION X,Misamis Oriental,Initao,0.0,3rd,29331.0,11127.0
NCR,Metropolitan Manila,Quezon City,1.0,1st Class-Special,"",17171.0
REGION V,Camarines Norte,San Lorenzo Ruiz,0.0,5th,12592.0,11937.0
REGION XII,Sultan Kudarat,Tacurong City,1.0,4th Class ,"",15340.0
REGION VI,Antique,Sibalom,0.0,2nd,56058.0,20130.0
REGION VI,Iloilo,Pototan,0.0,1st,70955.0,9710.0
